"Property"
"text-emphasis"
"text-emphasis-color"
"text-emphasis-position"
"text-emphasis-style"
"text-indent"
"text-justify"
"text-orientation"
"text-overflow"
"text-shadow"
"text-transform"
"text-underline-offset"
"text-underline-position"
"textarea"
"tfoot"
"th"
"thead"
"time"
"title"
"top"
"tr"
"track"
"transform"
"transform-origin"
"transform-style"
"transition"
"transition-delay"
"transition-duration"
"transition-property"
"transition-timing-function"
"translate"
"translate()"
"translateX()"
"translateY()"
"u"
"ul"
"unicode-bidi"
"url"
"url()"
"user-select"
"var"
"var()"
"vertical-align"
"vh"
"video"
"visibility"
"vmax"
"vmin"
"voice-family"
"volume"
"vw"
"wbr"
"white-space"
"widows"
"width"
"word-break"
"word-spacing"
"word-wrap"
"writing-mode"
"x-fast"
"x-high"
"x-loud"
"x-low"
"x-slow"
"x-soft"
"z-index"
"zoom"
